Angle (°),File,View Type,Source MIP,Rotation Order
0,halszkaraptor__MPC-D-102-109_rot_000.png,Rotational (2D-after-MIP),Sagittal (axis-1),Bicubic (order=3)
30,halszkaraptor__MPC-D-102-109_rot_030.png,Rotational (2D-after-MIP),Sagittal (axis-1),Bicubic (order=3)
60,halszkaraptor__MPC-D-102-109_rot_060.png,Rotational (2D-after-MIP),Sagittal (axis-1),Bicubic (order=3)
90,halszkaraptor__MPC-D-102-109_rot_090.png,Rotational (2D-after-MIP),Sagittal (axis-1),Bicubic (order=3)
120,halszkaraptor__MPC-D-102-109_rot_120.png,Rotational (2D-after-MIP),Sagittal (axis-1),Bicubic (order=3)
150,halszkaraptor__MPC-D-102-109_rot_150.png,Rotational (2D-after-MIP),Sagittal (axis-1),Bicubic (order=3)
180,halszkaraptor__MPC-D-102-109_rot_180.png,Rotational (2D-after-MIP),Sagittal (axis-1),Bicubic (order=3)
210,halszkaraptor__MPC-D-102-109_rot_210.png,Rotational (2D-after-MIP),Sagittal (axis-1),Bicubic (order=3)
240,halszkaraptor__MPC-D-102-109_rot_240.png,Rotational (2D-after-MIP),Sagittal (axis-1),Bicubic (order=3)
270,halszkaraptor__MPC-D-102-109_rot_270.png,Rotational (2D-after-MIP),Sagittal (axis-1),Bicubic (order=3)
300,halszkaraptor__MPC-D-102-109_rot_300.png,Rotational (2D-after-MIP),Sagittal (axis-1),Bicubic (order=3)
330,halszkaraptor__MPC-D-102-109_rot_330.png,Rotational (2D-after-MIP),Sagittal (axis-1),Bicubic (order=3)
